##### Reconstructed absorption cross section spectrum (U6OH) ##### 
## Number of input transitions: 9
## Number of input geometries: 100
## Possible outliers (geometry id): 69
## Remove outliers?: TRUE
## Model: GMM-NEA 
## Number of mixtures (K): 2, 2, 2, 2, 2, 2, 2, 2, 2
## Model constraints (M): EEV, EVE, EEI, EII, EEI, EEE, VVI, VVI, VVI
## Date: 2022-02-22
E_ev,sigma_cm2_full,sigma_cm2_full_lci,sigma_cm2_full_uci,sigma_cm2_Band_1,sigma_cm2_Band_1_lci,sigma_cm2_Band_1_uci,sigma_cm2_Band_2,sigma_cm2_Band_2_lci,sigma_cm2_Band_2_uci,sigma_cm2_Band_3,sigma_cm2_Band_3_lci,sigma_cm2_Band_3_uci,sigma_cm2_Band_4,sigma_cm2_Band_4_lci,sigma_cm2_Band_4_uci,sigma_cm2_Band_5,sigma_cm2_Band_5_lci,sigma_cm2_Band_5_uci,sigma_cm2_Band_6,sigma_cm2_Band_6_lci,sigma_cm2_Band_6_uci,sigma_cm2_Band_7,sigma_cm2_Band_7_lci,sigma_cm2_Band_7_uci,sigma_cm2_Band_8,sigma_cm2_Band_8_lci,sigma_cm2_Band_8_uci,sigma_cm2_Band_9,sigma_cm2_Band_9_lci,sigma_cm2_Band_9_uci
1.10,6.51506e-22,5.62641e-22,1.87969e-21, 1.24951e-23, 1.15871e-23,3.17148e-23,6.20505e-22,5.62217e-22,1.87650e-21,1.85053e-23,1.85053e-23,1.04723e-22,5.06075e-29,5.06067e-29,1.96045e-27,4.24237e-33,4.24237e-33,2.47144e-30,4.12995e-33,4.12995e-33,4.24862e-30,2.79453e-40,2.79453e-40,2.46895e-34,3.07925e-32,3.07925e-32,4.72418e-29,3.09703e-41,3.09703e-41,7.67467e-35
1.11,7.20093e-22,6.19962e-22,2.03107e-21, 1.42870e-23, 1.31914e-23,3.48482e-23,6.85485e-22,6.19489e-22,2.02762e-21,2.03208e-23,2.03208e-23,1.13104e-22,5.92705e-29,5.92695e-29,2.23808e-27,5.16985e-33,5.16985e-33,2.89645e-30,4.94145e-33,4.94145e-33,4.89830e-30,3.56230e-40,3.56230e-40,2.93531e-34,3.49055e-32,3.49055e-32,5.21009e-29,3.79200e-41,3.79200e-41,8.87415e-35
1.12,7.95395e-22,6.82641e-22,2.19564e-21, 1.63157e-23, 1.49959e-23,3.82404e-23,7.56776e-22,6.82111e-22,2.19191e-21,2.23024e-23,2.23024e-23,1.22092e-22,6.93721e-29,6.93708e-29,2.56674e-27,6.29590e-33,6.29590e-33,3.39267e-30,5.90914e-33,5.90914e-33,5.64474e-30,4.53797e-40,4.53797e-40,3.48854e-34,3.95550e-32,3.95550e-32,5.74441e-29,4.64076e-41,4.64076e-41,1.02575e-34
1.13,8.78013e-22,7.51123e-22,2.38116e-21, 1.86093e-23, 1.70222e-23,4.19279e-23,8.34940e-22,7.50532e-22,2.37712e-21,2.44641e-23,2.44641e-23,1.32139e-22,8.11438e-29,8.11421e-29,2.94814e-27,7.66212e-33,7.66212e-33,3.97172e-30,7.06245e-33,7.06245e-33,6.50199e-30,5.77702e-40,5.77702e-40,4.14401e-34,4.48094e-32,4.48094e-32,6.33122e-29,5.67689e-41,5.67688e-41,1.18522e-34
1.14,9.68599e-22,8.25891e-22,2.57407e-21, 2.11990e-23, 1.92939e-23,4.59225e-23,9.20579e-22,8.25230e-22,2.56969e-21,2.68209e-23,2.68209e-23,1.42880e-22,9.48527e-29,9.48505e-29,3.38423e-27,9.31862e-33,9.31862e-33,4.64703e-30,8.43622e-33,8.43622e-33,7.48604e-30,7.34949e-40,7.34949e-40,4.92023e-34,5.07457e-32,5.07457e-32,6.97512e-29,6.94116e-41,6.94115e-41,1.36900e-34
1.15,1.06785e-21,9.07459e-22,2.77988e-21, 2.41193e-23, 2.18364e-23,5.09668e-23,1.01435e-21,9.06720e-22,2.77519e-21,2.93889e-23,2.93889e-23,1.53029e-22,1.10808e-28,1.10805e-28,3.85610e-27,1.13257e-32,1.13257e-32,5.43419e-30,1.00717e-32,1.00717e-32,8.61512e-30,9.34378e-40,9.34378e-40,5.83900e-34,5.74501e-32,5.74501e-32,7.68245e-29,8.48309e-41,8.48308e-41,1.58073e-34
1.16,1.17654e-21,9.96378e-22,3.00025e-21, 2.74079e-23, 2.46830e-23,5.60931e-23,1.11694e-21,9.95552e-22,2.99519e-21,3.21856e-23,3.21856e-23,1.64900e-22,1.29365e-28,1.29361e-28,4.38360e-27,1.37561e-32,1.37561e-32,6.35120e-30,1.20177e-32,1.20177e-32,9.91004e-30,1.18714e-39,1.18714e-39,6.92596e-34,6.50196e-32,6.50196e-32,8.45926e-29,1.03628e-40,1.03628e-40,1.82428e-34
1.17,1.29546e-21,1.09324e-21,3.23601e-21, 3.11064e-23, 2.78694e-23,6.16188e-23,1.22912e-21,1.09231e-21,3.23053e-21,3.52296e-23,3.52296e-23,1.77872e-22,1.50934e-28,1.50930e-28,4.98067e-27,1.66969e-32,1.66969e-32,7.41890e-30,1.43318e-32,1.43318e-32,1.13852e-29,1.50727e-39,1.50727e-39,8.21128e-34,7.35632e-32,7.35632e-32,9.31215e-29,1.26533e-40,1.26533e-40,2.10350e-34
1.18,1.42550e-21,1.19864e-21,3.48812e-21, 3.52605e-23, 3.14156e-23,6.72887e-23,1.35170e-21,1.19761e-21,3.48209e-21,3.85410e-23,3.85410e-23,1.93704e-22,1.75990e-28,1.75984e-28,5.65612e-27,2.02531e-32,2.02531e-32,8.67596e-30,1.70823e-32,1.70823e-32,1.30658e-29,1.91247e-39,1.91247e-39,9.73042e-34,8.32033e-32,8.32033e-32,1.02483e-28,1.54430e-40,1.54430e-40,2.42462e-34
1.19,1.56761e-21,1.31327e-21,3.75745e-21, 3.99201e-23, 3.53521e-23,7.33009e-23,1.48555e-21,1.31212e-21,3.75081e-21,4.21413e-23,4.21413e-23,2.10824e-22,2.05077e-28,2.05070e-28,6.41983e-27,2.45505e-32,2.45505e-32,1.01718e-29,2.03496e-32,2.03496e-32,1.49879e-29,2.42501e-39,2.42501e-39,1.15250e-33,9.40773e-32,9.40773e-32,1.12270e-28,1.88393e-40,1.88393e-40,2.79382e-34
