##### Reconstructed absorption cross section spectrum (U6OH) ##### 
## Number of input transitions: 9
## Number of input geometries: 100
## Possible outliers (geometry id): 69
## Remove outliers?: TRUE
## Model: auto-d 
## Empirical bandwidths d: 0.259, 0.351, 0.439, 0.331, 0.31, 0.367, 0.342, 0.42, 0.308
## Date: 2022-02-22
E_ev,sigma_cm2_full,sigma_cm2_full_lci,sigma_cm2_full_uci,sigma_cm2_Band_1,sigma_cm2_Band_1_lci,sigma_cm2_Band_1_uci,sigma_cm2_Band_2,sigma_cm2_Band_2_lci,sigma_cm2_Band_2_uci,sigma_cm2_Band_3,sigma_cm2_Band_3_lci,sigma_cm2_Band_3_uci,sigma_cm2_Band_4,sigma_cm2_Band_4_lci,sigma_cm2_Band_4_uci,sigma_cm2_Band_5,sigma_cm2_Band_5_lci,sigma_cm2_Band_5_uci,sigma_cm2_Band_6,sigma_cm2_Band_6_lci,sigma_cm2_Band_6_uci,sigma_cm2_Band_7,sigma_cm2_Band_7_lci,sigma_cm2_Band_7_uci,sigma_cm2_Band_8,sigma_cm2_Band_8_lci,sigma_cm2_Band_8_uci,sigma_cm2_Band_9,sigma_cm2_Band_9_lci,sigma_cm2_Band_9_uci
1.10,4.30848e-24,4.01016e-24,7.47588e-24, 3.05542e-25, 2.54894e-25, 3.99464e-25, 4.00291e-24, 4.00205e-24, 7.46520e-24,3.17999e-29,3.11240e-29,5.62537e-29,8.91066e-48,8.91057e-48,1.77981e-47,4.03684e-65,4.03684e-65,8.07368e-65,4.39087e-62,4.39087e-62,8.78173e-62, 4.65522e-98, 4.65507e-98, 9.30838e-98,5.70455e-75,5.70455e-75,1.14091e-74,1.07936e-133,1.07936e-133,2.15872e-133
1.11,5.56348e-24,5.15265e-24,9.59171e-24, 4.21543e-25, 3.50947e-25, 5.51391e-25, 5.14190e-24, 5.14068e-24, 9.57584e-24,4.23864e-29,4.14648e-29,7.47894e-29,1.73875e-47,1.73873e-47,3.47280e-47,1.01262e-64,1.01262e-64,2.02524e-64,9.22366e-62,9.22366e-62,1.84473e-61, 1.38521e-97, 1.38517e-97, 2.76979e-97,1.20114e-74,1.20114e-74,2.40228e-74,4.68066e-133,4.68066e-133,9.36133e-133
1.12,7.16276e-24,6.60025e-24,1.22680e-23, 5.78236e-25, 4.80340e-25, 7.55543e-25, 6.58447e-24, 6.58275e-24, 1.22447e-23,5.63901e-29,5.51355e-29,9.92387e-29,3.38076e-47,3.38072e-47,6.75206e-47,2.52978e-64,2.52978e-64,5.05956e-64,1.93199e-61,1.93199e-61,3.86397e-61, 4.10813e-97, 4.10798e-97, 8.21430e-97,2.52359e-74,2.52359e-74,5.04718e-74,2.02138e-132,2.02138e-132,4.04277e-132
1.13,9.19427e-24,8.42854e-24,1.56421e-23, 7.88610e-25, 6.53583e-25, 1.02577e-24, 8.40559e-24, 8.40317e-24, 1.56084e-23,7.48776e-29,7.31733e-29,1.31423e-28,6.54999e-47,6.54992e-47,1.30810e-46,6.29431e-64,6.29431e-64,1.25886e-63,4.03508e-61,4.03508e-61,8.07016e-61, 1.21429e-96, 1.21424e-96, 2.42798e-96,5.29048e-74,5.29048e-74,1.05810e-73,8.69339e-132,8.69339e-132,1.73868e-131
1.14,1.17665e-23,1.07302e-23,1.98821e-23, 1.06934e-24, 8.84091e-25, 1.38443e-24, 1.06971e-23, 1.06937e-23, 1.98338e-23,9.92373e-29,9.69265e-29,1.73706e-28,1.26449e-46,1.26448e-46,2.52520e-46,1.55970e-63,1.55970e-63,3.11941e-63,8.40323e-61,8.40323e-61,1.68065e-60, 3.57725e-96, 3.57712e-96, 7.15269e-96,1.10668e-73,1.10668e-73,2.21336e-73,3.72330e-131,3.72330e-131,7.44660e-131
1.15,1.50128e-23,1.36184e-23,2.51926e-23, 1.44167e-24, 1.19081e-24, 1.85759e-24, 1.35710e-23, 1.35662e-23, 2.51240e-23,1.31272e-28,1.28145e-28,2.29145e-28,2.43243e-46,2.43240e-46,4.85731e-46,3.84914e-63,3.84914e-63,7.69829e-63,1.74496e-60,1.74496e-60,3.48993e-60, 1.05033e-95, 1.05029e-95, 2.10011e-95,2.30992e-73,2.30992e-73,4.61984e-73,1.58805e-130,1.58805e-130,3.17611e-130
1.16,1.90963e-23,1.72309e-23,3.18225e-23, 1.93249e-24, 1.59436e-24, 2.48323e-24, 1.71636e-23, 1.71570e-23, 3.17255e-23,1.73318e-28,1.69094e-28,3.01685e-28,4.66243e-46,4.66237e-46,9.30989e-46,9.46049e-63,9.46049e-63,1.89210e-62,3.61303e-60,3.61303e-60,7.22606e-60, 3.07364e-95, 3.07351e-95, 6.14561e-95,4.81086e-73,4.81086e-73,9.62171e-73,6.74527e-130,6.74527e-130,1.34905e-129
1.17,2.42157e-23,2.17341e-23,4.00722e-23, 2.57554e-24, 2.11754e-24, 3.30143e-24, 2.16400e-23, 2.16307e-23, 3.99359e-23,2.28395e-28,2.22702e-28,3.96412e-28,8.90496e-46,8.90484e-46,1.77803e-45,2.31574e-62,2.31574e-62,4.63148e-62,7.45936e-60,7.45936e-60,1.49187e-59, 8.96454e-95, 8.96415e-95, 1.79240e-94,9.99762e-73,9.99762e-73,1.99952e-72,2.85319e-129,2.85319e-129,5.70638e-129
1.18,3.06123e-23,2.73296e-23,5.03031e-23, 3.41290e-24, 2.79592e-24, 4.36331e-24, 2.71991e-23, 2.71862e-23, 5.01135e-23,3.00404e-28,2.92743e-28,5.19865e-28,1.69472e-45,1.69470e-45,3.38361e-45,5.64538e-62,5.64538e-62,1.12908e-61,1.53559e-59,1.53559e-59,3.07118e-59, 2.60585e-94, 2.60574e-94, 5.21019e-94,2.07309e-72,2.07309e-72,4.14618e-72,1.20187e-128,1.20187e-128,2.40375e-128
1.19,3.85773e-23,3.42596e-23,6.29492e-23, 4.49660e-24, 3.66996e-24, 5.73264e-24, 3.40803e-23, 3.40624e-23, 6.26876e-23,3.94365e-28,3.84078e-28,6.80429e-28,3.21374e-45,3.21369e-45,6.41603e-45,1.37063e-61,1.37063e-61,2.74127e-61,3.15205e-59,3.15205e-59,6.30410e-59, 7.54953e-94, 7.54917e-94, 1.50945e-93,4.28932e-72,4.28932e-72,8.57864e-72,5.04175e-128,5.04175e-128,1.00835e-127
1.20,4.84611e-23,4.28140e-23,7.85285e-23, 5.89052e-24, 4.78884e-24, 7.48713e-24, 4.25700e-23, 4.25453e-23, 7.81708e-23,5.16732e-28,5.02945e-28,8.88842e-28,6.07253e-45,6.07244e-45,1.21226e-44,3.31418e-61,3.31418e-61,6.62836e-61,6.45140e-59,6.45140e-59,1.29028e-58, 2.17990e-93, 2.17979e-93, 4.35843e-93,8.85534e-72,8.85534e-72,1.77107e-71,2.10620e-127,2.10620e-127,4.21241e-127
1.21,6.06829e-23,5.33403e-23,9.76573e-23, 7.67247e-24, 6.22594e-24, 9.72070e-24, 5.30098e-23, 5.29757e-23, 9.71723e-23,6.75782e-28,6.57339e-28,1.15882e-27,1.14334e-44,1.14332e-44,2.28230e-44,7.98095e-61,7.98095e-61,1.59619e-60,1.31661e-58,1.31661e-58,2.63322e-58, 6.27333e-93, 6.27301e-93, 1.25426e-92,1.82418e-71,1.82418e-71,3.64837e-71,8.76220e-127,8.76220e-127,1.75244e-126
1.22,7.57426e-23,6.62486e-23,1.21065e-22, 9.93648e-24, 8.04492e-24, 1.25458e-23, 6.58052e-23, 6.57583e-23, 1.20414e-22,8.82109e-28,8.57487e-28,1.50784e-27,2.14498e-44,2.14494e-44,4.28147e-44,1.91407e-60,1.91407e-60,3.82814e-60,2.67918e-58,2.67918e-58,5.35837e-58, 1.79931e-92, 1.79922e-92, 3.59742e-92,3.74954e-71,3.74954e-71,7.49908e-71,3.63012e-126,3.63012e-126,7.26024e-126
1.23,9.42326e-23,8.20234e-23,1.49614e-22, 1.27953e-23, 1.03180e-23, 1.60958e-23, 8.14362e-23, 8.13719e-23, 1.48746e-22,1.14924e-27,1.11644e-27,1.95813e-27,4.00975e-44,4.00967e-44,8.00306e-44,4.57178e-60,4.57178e-60,9.14356e-60,5.43613e-58,5.43613e-58,1.08723e-57, 5.14351e-92, 5.14323e-92, 1.02835e-91,7.69012e-71,7.69012e-71,1.53802e-70,1.49769e-125,1.49769e-125,2.99538e-125
1.24,1.16853e-22,1.01238e-22,1.84314e-22, 1.63828e-23, 1.31591e-23, 2.05278e-23, 1.00468e-22, 1.00380e-22, 1.83168e-22,1.49444e-27,1.45081e-27,2.53791e-27,7.46887e-44,7.46872e-44,1.49061e-43,1.08752e-59,1.08752e-59,2.17503e-59,1.09981e-57,1.09981e-57,2.19962e-57, 1.46541e-91, 1.46532e-91, 2.92976e-91,1.57374e-70,1.57374e-70,3.14748e-70,6.15342e-125,6.15342e-125,1.23068e-124
1.25,1.44424e-22,1.24568e-22,2.26348e-22, 2.08573e-23, 1.67039e-23, 2.60244e-23, 1.23565e-22, 1.23443e-22, 2.24847e-22,1.93962e-27,1.88171e-27,3.28291e-27,1.38623e-43,1.38621e-43,2.76638e-43,2.57638e-59,2.57638e-59,5.15275e-59,2.21864e-57,2.21864e-57,4.43728e-57, 4.16103e-91, 4.16078e-91, 8.31896e-91,3.21350e-70,3.21350e-70,6.42700e-70,2.51770e-124,2.51770e-124,5.03540e-124
1.26,1.77907e-22,1.52792e-22,2.77093e-22, 2.64034e-23, 2.10572e-23, 3.27963e-23, 1.51501e-22, 1.51334e-22, 2.75146e-22,2.51266e-27,2.43594e-27,4.23827e-27,2.56366e-43,2.56361e-43,5.11568e-43,6.07862e-59,6.07862e-59,1.21572e-58,4.46267e-57,4.46267e-57,8.92535e-57, 1.17757e-90, 1.17750e-90, 2.35423e-90,6.54738e-70,6.54738e-70,1.30948e-69,1.02585e-123,1.02585e-123,2.05170e-123
