##### Reconstructed absorption cross section spectrum (U6OH) ##### 
## Number of input transitions: 9
## Number of input geometries: 100
## Possible outliers (geometry id): 69
## Remove outliers?: TRUE
## Model: GMM-NEA 
## Number of mixtures (K): 2, 2, 2, 2, 2, 2, 2, 2, 2
## Model constraints (M): EEV, EVE, EEI, EII, EEI, EEE, VVI, VVI, VVI
## Date: 2022-03-09
wl_nm,sigma_cm2_full,sigma_cm2_full_lci,sigma_cm2_full_uci,sigma_cm2_Band_1,sigma_cm2_Band_1_lci,sigma_cm2_Band_1_uci,sigma_cm2_Band_2,sigma_cm2_Band_2_lci,sigma_cm2_Band_2_uci,sigma_cm2_Band_3,sigma_cm2_Band_3_lci,sigma_cm2_Band_3_uci,sigma_cm2_Band_4,sigma_cm2_Band_4_lci,sigma_cm2_Band_4_uci,sigma_cm2_Band_5,sigma_cm2_Band_5_lci,sigma_cm2_Band_5_uci,sigma_cm2_Band_6,sigma_cm2_Band_6_lci,sigma_cm2_Band_6_uci,sigma_cm2_Band_7,sigma_cm2_Band_7_lci,sigma_cm2_Band_7_uci,sigma_cm2_Band_8,sigma_cm2_Band_8_lci,sigma_cm2_Band_8_uci,sigma_cm2_Band_9,sigma_cm2_Band_9_lci,sigma_cm2_Band_9_uci
1127.129,6.51506e-22,5.69357e-22,2.11439e-21, 1.24951e-23, 1.13423e-23,3.20126e-23,6.20505e-22,5.68943e-22,2.11056e-21,1.85053e-23,1.85053e-23,1.23133e-22,5.06075e-29,5.06062e-29,1.77443e-27,4.24237e-33,4.24237e-33,1.86672e-30,4.12995e-33,4.12995e-33,7.23952e-30,2.79453e-40,2.79453e-40,3.06357e-34,3.07925e-32,3.07925e-32,3.78033e-29,3.09703e-41,3.09703e-41,6.45724e-35
1116.975,7.20093e-22,6.27322e-22,2.28216e-21, 1.42870e-23, 1.29101e-23,3.58219e-23,6.85485e-22,6.26860e-22,2.27801e-21,2.03208e-23,2.03208e-23,1.32748e-22,5.92705e-29,5.92688e-29,2.05765e-27,5.16985e-33,5.16985e-33,2.19520e-30,4.94145e-33,4.94145e-33,8.31223e-30,3.56230e-40,3.56230e-40,3.62024e-34,3.49055e-32,3.49055e-32,4.15728e-29,3.79200e-41,3.79199e-41,7.41731e-35
1107.002,7.95395e-22,6.90690e-22,2.46168e-21, 1.63157e-23, 1.46535e-23,4.00974e-23,7.56776e-22,6.90174e-22,2.45717e-21,2.23024e-23,2.23024e-23,1.43375e-22,6.93721e-29,6.93700e-29,2.35692e-27,6.29590e-33,6.29590e-33,2.58001e-30,5.90914e-33,5.90914e-33,9.55383e-30,4.53797e-40,4.53797e-40,4.27608e-34,3.95550e-32,3.95550e-32,4.57063e-29,4.64076e-41,4.64076e-41,8.51718e-35
1097.205,8.78013e-22,7.59912e-22,2.65659e-21, 1.86093e-23, 1.66064e-23,4.42917e-23,8.34940e-22,7.59336e-22,2.65164e-21,2.44641e-23,2.44641e-23,1.56014e-22,8.11438e-29,8.11411e-29,2.70412e-27,7.66212e-33,7.66212e-33,3.03058e-30,7.06245e-33,7.06245e-33,1.09783e-29,5.77702e-40,5.77702e-40,5.04838e-34,4.48094e-32,4.48094e-32,5.02378e-29,5.67689e-41,5.67688e-41,9.77676e-35
1087.581,9.68599e-22,8.35469e-22,2.87897e-21, 2.11990e-23, 1.87901e-23,4.86506e-23,9.20579e-22,8.34827e-22,2.87359e-21,2.68209e-23,2.68209e-23,1.69094e-22,9.48527e-29,9.48493e-29,3.13321e-27,9.31862e-33,9.31862e-33,3.55783e-30,8.43622e-33,8.43622e-33,1.26095e-29,7.34949e-40,7.34949e-40,5.95740e-34,5.07457e-32,5.07457e-32,5.52043e-29,6.94116e-41,6.94114e-41,1.12188e-34
1078.123,1.06785e-21,9.17879e-22,3.11783e-21, 2.41193e-23, 2.12993e-23,5.40124e-23,1.01435e-21,9.17161e-22,3.11205e-21,2.93889e-23,2.93889e-23,1.82049e-22,1.10808e-28,1.10803e-28,3.57715e-27,1.13257e-32,1.13257e-32,4.17447e-30,1.00717e-32,1.00717e-32,1.44281e-29,9.34378e-40,9.34378e-40,7.02686e-34,5.74501e-32,5.74501e-32,6.06463e-29,8.48309e-41,8.48308e-41,1.28691e-34
1068.829,1.17654e-21,1.00769e-21,3.37266e-21, 2.74079e-23, 2.40749e-23,5.93953e-23,1.11694e-21,1.00689e-21,3.36645e-21,3.21856e-23,3.21856e-23,1.95838e-22,1.29365e-28,1.29359e-28,4.07475e-27,1.37561e-32,1.37561e-32,4.89524e-30,1.20177e-32,1.20177e-32,1.64839e-29,1.18714e-39,1.18714e-39,8.31705e-34,6.50196e-32,6.50196e-32,6.66077e-29,1.03628e-40,1.03628e-40,1.47994e-34
1059.694,1.29546e-21,1.10546e-21,3.56562e-21, 3.11064e-23, 2.70743e-23,6.49150e-23,1.22912e-21,1.10457e-21,3.55880e-21,3.52296e-23,3.52296e-23,2.10557e-22,1.50934e-28,1.50927e-28,4.63848e-27,1.66969e-32,1.66969e-32,5.74171e-30,1.43318e-32,1.43318e-32,1.88811e-29,1.50727e-39,1.50727e-39,9.84415e-34,7.35632e-32,7.35632e-32,7.31366e-29,1.26533e-40,1.26533e-40,1.71129e-34
1050.714,1.42550e-21,1.21183e-21,3.81961e-21, 3.52605e-23, 3.04701e-23,7.08574e-23,1.35170e-21,1.21083e-21,3.81225e-21,3.85410e-23,3.85410e-23,2.26267e-22,1.75990e-28,1.75981e-28,5.27736e-27,2.02531e-32,2.02531e-32,6.75101e-30,1.70823e-32,1.70823e-32,2.16174e-29,1.91247e-39,1.91247e-39,1.16461e-33,8.32033e-32,8.32033e-32,8.02853e-29,1.54430e-40,1.54430e-40,1.97810e-34
1041.884,1.56761e-21,1.32739e-21,4.11266e-21, 3.99201e-23, 3.43053e-23,7.72108e-23,1.48555e-21,1.32627e-21,4.10475e-21,4.21413e-23,4.21413e-23,2.43023e-22,2.05077e-28,2.05065e-28,6.00101e-27,2.45505e-32,2.45505e-32,7.93313e-30,2.03496e-32,2.03496e-32,2.47354e-29,2.42501e-39,2.42501e-39,1.37713e-33,9.40773e-32,9.40773e-32,8.81105e-29,1.88393e-40,1.88393e-40,2.28570e-34
