##### Reconstructed absorption cross section spectrum (U6OH) ##### 
## Number of input transitions: 9
## Number of input geometries: 100
## Possible outliers (geometry id): 69
## Remove outliers?: TRUE
## Model: GMM-NEA 
## Number of mixtures (K): 2, 2, 2, 2, 2, 2, 2, 2, 2
## Model constraints (M): EEV, EVE, EEI, EII, EEI, EEE, VVI, VVI, VVI
## Date: 2022-03-09
wl_nm,sigma_cm2_full,sigma_cm2_full_lci,sigma_cm2_full_uci,sigma_cm2_Band_1,sigma_cm2_Band_1_lci,sigma_cm2_Band_1_uci,sigma_cm2_Band_2,sigma_cm2_Band_2_lci,sigma_cm2_Band_2_uci,sigma_cm2_Band_3,sigma_cm2_Band_3_lci,sigma_cm2_Band_3_uci,sigma_cm2_Band_4,sigma_cm2_Band_4_lci,sigma_cm2_Band_4_uci,sigma_cm2_Band_5,sigma_cm2_Band_5_lci,sigma_cm2_Band_5_uci,sigma_cm2_Band_6,sigma_cm2_Band_6_lci,sigma_cm2_Band_6_uci,sigma_cm2_Band_7,sigma_cm2_Band_7_lci,sigma_cm2_Band_7_uci,sigma_cm2_Band_8,sigma_cm2_Band_8_lci,sigma_cm2_Band_8_uci,sigma_cm2_Band_9,sigma_cm2_Band_9_lci,sigma_cm2_Band_9_uci
 291.728,1.06455e-18,1.47989e-19,2.27355e-19, 7.63662e-31, 7.63591e-31,7.03728e-27,2.24809e-21,2.05443e-21,9.97864e-21,1.23332e-19,3.96575e-20,7.15593e-20,2.84629e-19,8.47977e-20,6.64174e-20,3.83840e-19,7.44843e-20,1.73459e-19,2.38153e-19,8.44171e-20,1.07082e-19,2.56893e-20,2.05529e-20,1.99490e-20,6.42984e-21,6.04659e-21,1.02838e-20,2.30492e-22,2.05938e-22,8.98330e-22
 291.043,1.06829e-18,1.47930e-19,2.30839e-19, 6.00429e-31, 6.00378e-31,6.08571e-27,2.05088e-21,1.88102e-21,9.35514e-21,1.19998e-19,3.92730e-20,7.07765e-20,2.80470e-19,8.37385e-20,6.54967e-20,3.87851e-19,7.40915e-20,1.77907e-19,2.43910e-19,8.56805e-20,1.08250e-19,2.70512e-20,2.13249e-20,2.04751e-20,6.71293e-21,6.29762e-21,1.05416e-20,2.48459e-22,2.21525e-22,9.43972e-22
 290.361,1.07190e-18,1.48158e-19,2.34358e-19, 4.71634e-31, 4.71598e-31,5.25883e-27,1.86978e-21,1.72041e-21,8.82621e-21,1.16704e-19,3.88616e-20,6.98740e-20,2.76213e-19,8.27886e-20,6.59322e-20,3.91684e-19,7.39540e-20,1.81553e-19,2.49686e-19,8.70615e-20,1.09983e-19,2.84688e-20,2.21768e-20,2.09956e-20,7.00690e-21,6.55702e-21,1.08025e-20,2.67721e-22,2.38184e-22,9.88981e-22
 289.683,1.07537e-18,1.48831e-19,2.37172e-19, 3.70106e-31, 3.70080e-31,4.54094e-27,1.70358e-21,1.57200e-21,8.29351e-21,1.13449e-19,3.85706e-20,6.90433e-20,2.71864e-19,8.18957e-20,6.47490e-20,3.95335e-19,7.49521e-20,1.83842e-19,2.55476e-19,8.80704e-20,1.13254e-19,2.99433e-20,2.30787e-20,2.17408e-20,7.31208e-21,6.82495e-21,1.11365e-20,2.88360e-22,2.55992e-22,1.03570e-21
 289.007,1.07870e-18,1.49173e-19,2.39981e-19, 2.90148e-31, 2.90129e-31,3.89889e-27,1.55117e-21,1.43491e-21,7.74922e-21,1.10236e-19,3.82324e-20,6.71749e-20,2.67430e-19,8.17111e-20,6.37233e-20,3.98797e-19,7.50072e-20,1.87166e-19,2.61274e-19,8.86557e-20,1.15306e-19,3.14759e-20,2.39939e-20,2.22812e-20,7.62884e-21,7.10157e-21,1.15481e-20,3.10466e-22,2.75015e-22,1.09381e-21
 288.335,1.08190e-18,1.49276e-19,2.39753e-19, 2.27238e-31, 2.27224e-31,3.30674e-27,1.41149e-21,1.30651e-21,7.25463e-21,1.07066e-19,3.74295e-20,6.64458e-20,2.62917e-19,8.07102e-20,6.33061e-20,4.02065e-19,7.57772e-20,1.86149e-19,2.67076e-19,8.91458e-20,1.17052e-19,3.30677e-20,2.49528e-20,2.25565e-20,7.95754e-21,7.38704e-21,1.19715e-20,3.34132e-22,2.95318e-22,1.15627e-21
 287.666,1.08495e-18,1.49630e-19,2.42276e-19, 1.77788e-31, 1.77779e-31,2.80210e-27,1.28356e-21,1.19121e-21,6.78474e-21,1.03942e-19,3.70240e-20,6.61789e-20,2.58332e-19,7.93435e-20,6.26967e-20,4.05134e-19,7.68558e-20,1.88296e-19,2.72876e-19,8.99219e-20,1.19114e-19,3.47199e-20,2.58770e-20,2.32850e-20,8.29853e-21,7.68152e-21,1.24069e-20,3.59459e-22,3.16972e-22,1.22183e-21
 287.000,1.08785e-18,1.49763e-19,2.44398e-19, 1.38958e-31, 1.38951e-31,2.37241e-27,1.16648e-21,1.08530e-21,6.33869e-21,1.00864e-19,3.67163e-20,6.54631e-20,2.53681e-19,7.80851e-20,6.15132e-20,4.07999e-19,7.78295e-20,1.90918e-19,2.78667e-19,9.02412e-20,1.20167e-19,3.64335e-20,2.67890e-20,2.37496e-20,8.65221e-21,7.98515e-21,1.28544e-20,3.86551e-22,3.40045e-22,1.29059e-21
 286.338,1.09061e-18,1.50562e-19,2.45195e-19, 1.08497e-31, 1.08492e-31,2.00688e-27,1.05940e-21,9.88100e-22,5.92161e-21,9.78328e-20,3.63757e-20,6.37756e-20,2.48970e-19,7.76965e-20,6.02204e-20,4.10655e-19,7.80551e-20,1.91887e-19,2.84445e-19,9.14667e-20,1.21601e-19,3.82095e-20,2.79334e-20,2.45956e-20,9.01895e-21,8.29802e-21,1.33128e-20,4.15519e-22,3.64630e-22,1.35837e-21
 285.678,1.09321e-18,1.51012e-19,2.46490e-19, 8.46257e-32, 8.46222e-32,1.69620e-27,9.61534e-22,8.99023e-22,5.52965e-21,9.48507e-20,3.57216e-20,6.30410e-20,2.44206e-19,7.67786e-20,5.84423e-20,4.13098e-19,7.83049e-20,1.92158e-19,2.90202e-19,9.26960e-20,1.24811e-19,4.00489e-20,2.88820e-20,2.54527e-20,9.39915e-21,8.62025e-21,1.35833e-20,4.46478e-22,3.90811e-22,1.42782e-21
 285.021,1.09567e-18,1.51803e-19,2.46934e-19, 6.59373e-32, 6.59349e-32,1.43238e-27,8.72145e-22,8.17525e-22,5.16064e-21,9.19183e-20,3.50015e-20,6.22929e-20,2.39395e-19,7.60927e-20,5.82646e-20,4.15324e-19,7.84632e-20,1.92212e-19,2.95935e-19,9.43756e-20,1.25870e-19,4.19526e-20,2.97464e-20,2.63314e-20,9.79322e-21,8.95201e-21,1.37956e-20,4.79552e-22,4.18678e-22,1.50011e-21
 284.367,1.09797e-18,1.51689e-19,2.44644e-19, 5.13219e-32, 5.13202e-32,1.20854e-27,7.90556e-22,7.42432e-22,4.81347e-21,8.90368e-20,3.47562e-20,6.09841e-20,2.34544e-19,7.48363e-20,5.69709e-20,4.17329e-19,7.82811e-20,1.88939e-19,3.01635e-19,9.51301e-20,1.27350e-19,4.39213e-20,3.06000e-20,2.72289e-20,1.02016e-20,9.29343e-21,1.42416e-20,5.14869e-22,4.48324e-22,1.57541e-21
 283.717,1.10012e-18,1.52232e-19,2.43586e-19, 3.99037e-32, 3.99024e-32,1.01880e-27,7.16138e-22,6.74022e-22,4.50250e-21,8.62069e-20,3.43341e-20,6.07043e-20,2.29659e-19,7.43477e-20,5.62414e-20,4.19111e-19,7.81607e-20,1.86591e-19,3.07297e-19,9.62832e-20,1.28994e-19,4.59558e-20,3.15404e-20,2.81433e-20,1.06246e-20,9.64460e-21,1.46735e-20,5.52566e-22,4.79844e-22,1.65380e-21
 283.069,1.10212e-18,1.53282e-19,2.42181e-19, 3.09926e-32, 3.09917e-32,8.58107e-28,6.48306e-22,6.11473e-22,4.20284e-21,8.34295e-20,3.36367e-20,5.83852e-20,2.24746e-19,7.40147e-20,5.52340e-20,4.20665e-19,7.91308e-20,1.83345e-19,3.12915e-19,9.73073e-20,1.32290e-19,4.80568e-20,3.24730e-20,2.88593e-20,1.10627e-20,1.00056e-20,1.49154e-20,5.92786e-22,5.13339e-22,1.73478e-21
 282.424,1.10395e-18,1.52272e-19,2.43334e-19, 2.40456e-32, 2.40450e-32,7.22135e-28,5.86519e-22,5.54324e-22,3.91454e-21,8.07053e-20,3.30297e-20,5.70428e-20,2.19812e-19,7.26657e-20,5.51954e-20,4.21991e-19,7.76584e-20,1.82444e-19,3.18483e-19,9.77789e-20,1.36079e-19,5.02249e-20,3.34035e-20,2.93174e-20,1.15164e-20,1.03766e-20,1.51560e-20,6.35678e-22,5.48907e-22,1.82048e-21
 281.782,1.10563e-18,1.51890e-19,2.41036e-19, 1.86356e-32, 1.86351e-32,6.07183e-28,5.30277e-22,5.02160e-22,3.64390e-21,7.80350e-20,3.24905e-20,5.57407e-20,2.14862e-19,7.25675e-20,5.41707e-20,4.23085e-19,7.73378e-20,1.79474e-19,3.23994e-19,9.72740e-20,1.36715e-19,5.24604e-20,3.44839e-20,3.00197e-20,1.19861e-20,1.07576e-20,1.53951e-20,6.81401e-22,5.86659e-22,1.90937e-21
 281.143,1.10715e-18,1.51571e-19,2.37105e-19, 1.44270e-32, 1.44267e-32,5.10088e-28,4.79117e-22,4.54505e-22,3.45889e-21,7.54190e-20,3.19522e-20,5.51255e-20,2.09902e-19,7.14084e-20,5.34771e-20,4.23945e-19,7.73791e-20,1.74598e-19,3.29442e-19,9.74710e-20,1.36484e-19,5.47639e-20,3.52229e-20,3.07762e-20,1.24722e-20,1.11487e-20,1.56324e-20,7.30119e-22,6.26726e-22,2.00142e-21
 280.507,1.10851e-18,1.51792e-19,2.32545e-19, 1.11567e-32, 1.11564e-32,4.28149e-28,4.32611e-22,4.11037e-22,3.31793e-21,7.28579e-20,3.14067e-20,5.43382e-20,2.04938e-19,6.98248e-20,5.18951e-20,4.24572e-19,7.73609e-20,1.70281e-19,3.34821e-19,9.87994e-20,1.34863e-19,5.71355e-20,3.60386e-20,3.13147e-20,1.29753e-20,1.15499e-20,1.58678e-20,7.82007e-22,6.69214e-22,2.09599e-21
 279.874,1.10971e-18,1.52666e-19,2.30624e-19, 8.61816e-33, 8.61801e-33,3.59063e-28,3.90365e-22,3.71469e-22,3.08774e-21,7.03520e-20,3.08294e-20,5.27836e-20,1.99977e-19,6.85657e-20,5.16350e-20,4.24962e-19,7.89258e-20,1.67179e-19,3.40124e-19,9.96028e-20,1.35907e-19,5.95755e-20,3.68981e-20,3.22732e-20,1.34957e-20,1.19613e-20,1.61201e-20,8.37247e-22,7.14228e-22,2.18834e-21
 279.244,1.11075e-18,1.51623e-19,2.27739e-19, 6.64989e-33, 6.64978e-33,3.03759e-28,3.52016e-22,3.35485e-22,2.87089e-21,6.79016e-20,3.02491e-20,5.19589e-20,1.95023e-19,6.71532e-20,5.17377e-20,4.25116e-19,7.85021e-20,1.61971e-19,3.45345e-19,9.91210e-20,1.37360e-19,6.20840e-20,3.77269e-20,3.31272e-20,1.40340e-20,1.23829e-20,1.65891e-20,8.96030e-22,7.61855e-22,2.28344e-21
 278.616,1.11163e-18,1.52315e-19,2.23110e-19, 5.12546e-33, 5.12538e-33,2.56769e-28,3.17226e-22,3.02753e-22,2.66466e-21,6.55069e-20,2.96555e-20,5.11691e-20,1.90082e-19,6.61211e-20,5.09316e-20,4.25034e-19,7.94211e-20,1.56191e-19,3.50477e-19,9.99566e-20,1.36759e-19,6.46609e-20,3.85208e-20,3.41083e-20,1.45906e-20,1.28326e-20,1.70618e-20,9.58555e-22,8.12103e-22,2.38700e-21
 277.991,1.11234e-18,1.52161e-19,2.18289e-19, 3.94609e-33, 3.94603e-33,2.15136e-28,2.85688e-22,2.73036e-22,2.47054e-21,6.31681e-20,2.90537e-20,5.03585e-20,1.85159e-19,6.48420e-20,5.09865e-20,4.24715e-19,7.90649e-20,1.49631e-19,3.55515e-19,1.00662e-19,1.36328e-19,6.73060e-20,3.92752e-20,3.49167e-20,1.51660e-20,1.33017e-20,1.75545e-20,1.02503e-21,8.65480e-22,2.49422e-21
 277.370,1.11289e-18,1.52363e-19,2.15940e-19, 3.03470e-33, 3.03466e-33,1.80101e-28,2.57116e-22,2.46070e-22,2.26595e-21,6.08851e-20,2.84818e-20,4.94996e-20,1.80260e-19,6.37172e-20,5.17971e-20,4.24161e-19,7.92964e-20,1.46022e-19,3.60452e-19,1.01272e-19,1.36115e-19,7.00190e-20,4.01071e-20,3.61797e-20,1.57608e-20,1.37845e-20,1.80631e-20,1.09568e-21,9.22319e-22,2.62421e-21
 276.750,1.11328e-18,1.53020e-19,2.14847e-19, 2.33118e-33, 2.33116e-33,1.50645e-28,2.31251e-22,2.21647e-22,2.12330e-21,5.86581e-20,2.80344e-20,4.85538e-20,1.75389e-19,6.27879e-20,5.02128e-20,4.23372e-19,8.05805e-20,1.42903e-19,3.65282e-19,1.01603e-19,1.38287e-19,7.27996e-20,4.08129e-20,3.71735e-20,1.63754e-20,1.42811e-20,1.85014e-20,1.17073e-21,9.82091e-22,2.74669e-21
 276.134,1.11350e-18,1.53379e-19,2.10640e-19, 1.78875e-33, 1.78873e-33,1.25901e-28,2.07850e-22,1.99549e-22,1.96624e-21,5.64870e-20,2.75781e-20,4.63815e-20,1.70551e-19,6.21382e-20,4.80822e-20,4.22349e-19,8.05420e-20,1.35821e-19,3.69999e-19,1.02302e-19,1.39977e-19,7.56472e-20,4.16069e-20,3.87353e-20,1.70104e-20,1.47758e-20,1.87784e-20,1.25041e-21,1.04660e-21,2.86984e-21
 275.520,1.11356e-18,1.53475e-19,2.08280e-19, 1.37098e-33, 1.37097e-33,1.05133e-28,1.86695e-22,1.79526e-22,1.81974e-21,5.43715e-20,2.69509e-20,4.49796e-20,1.65751e-19,6.12747e-20,4.78337e-20,4.21095e-19,8.00485e-20,1.31928e-19,3.74597e-19,1.02917e-19,1.40367e-19,7.85611e-20,4.28883e-20,3.97923e-20,1.76662e-20,1.52718e-20,1.91265e-20,1.33498e-21,1.11572e-21,2.99448e-21
 274.910,1.11346e-18,1.53008e-19,2.08590e-19, 1.04960e-33, 1.04959e-33,8.76829e-29,1.67582e-22,1.61398e-22,1.68319e-21,5.23114e-20,2.61780e-20,4.36495e-20,1.60993e-19,6.02400e-20,4.79953e-20,4.19611e-19,7.93125e-20,1.31204e-19,3.79069e-19,1.03139e-19,1.41561e-19,8.15405e-20,4.38044e-20,4.06842e-20,1.83435e-20,1.57789e-20,1.94742e-20,1.42470e-21,1.18670e-21,3.12420e-21
 274.301,1.11320e-18,1.52850e-19,2.08129e-19, 8.02640e-34, 8.02634e-34,7.30412e-29,1.50327e-22,1.44995e-22,1.55599e-21,5.03065e-20,2.56015e-20,4.26258e-20,1.56281e-19,5.92280e-20,4.75380e-20,4.17900e-19,7.88656e-20,1.27825e-19,3.83411e-19,1.03384e-19,1.44107e-19,8.45844e-20,4.49924e-20,4.15104e-20,1.90427e-20,1.62970e-20,1.99633e-20,1.51984e-21,1.26097e-21,3.24196e-21
 273.696,1.11277e-18,1.52949e-19,2.06903e-19, 6.13092e-34, 6.13088e-34,6.07924e-29,1.34759e-22,1.30167e-22,1.45588e-21,4.83564e-20,2.49445e-20,4.07242e-20,1.51619e-19,5.83475e-20,4.76218e-20,4.15965e-19,7.89932e-20,1.23483e-19,3.87615e-19,1.03473e-19,1.46220e-19,8.76918e-20,4.62067e-20,4.26468e-20,1.97644e-20,1.68263e-20,2.05389e-20,1.62069e-21,1.33971e-21,3.35961e-21
 273.093,1.11218e-18,1.53265e-19,2.05069e-19, 4.67774e-34, 4.67772e-34,5.05546e-29,1.20723e-22,1.16772e-22,1.34734e-21,4.64608e-20,2.45642e-20,3.94099e-20,1.47011e-19,5.73263e-20,4.66614e-20,4.13808e-19,7.97580e-20,1.20900e-19,3.91678e-19,1.03596e-19,1.45931e-19,9.08613e-20,4.69320e-20,4.41242e-20,2.05091e-20,1.73872e-20,2.11978e-20,1.72753e-21,1.42485e-21,3.49099e-21
 272.493,1.11143e-18,1.54186e-19,2.03886e-19, 3.56493e-34, 3.56491e-34,4.20050e-29,1.08077e-22,1.04659e-22,1.26309e-21,4.46191e-20,2.40869e-20,3.85052e-20,1.42461e-19,5.60509e-20,4.57418e-20,4.11434e-19,8.16095e-20,1.17630e-19,3.95593e-19,1.03748e-19,1.46891e-19,9.40917e-20,4.79837e-20,4.56879e-20,2.12774e-20,1.79647e-20,2.18788e-20,1.84067e-21,1.51590e-21,3.63376e-21
 271.895,1.11051e-18,1.54173e-19,2.02832e-19, 2.71375e-34, 2.71374e-34,3.48716e-29,9.66918e-23,9.37349e-23,1.19622e-21,4.28309e-20,2.33484e-20,3.74747e-20,1.37972e-19,5.45670e-20,4.52082e-20,4.08847e-19,8.22484e-20,1.14358e-19,3.99355e-19,1.03941e-19,1.47968e-19,9.73812e-20,4.82718e-20,4.69831e-20,2.20699e-20,1.85872e-20,2.22967e-20,1.96044e-21,1.61083e-21,3.78070e-21
 271.300,1.10944e-18,1.55751e-19,2.03052e-19, 2.06344e-34, 2.06343e-34,2.89248e-29,8.64481e-23,8.38924e-23,1.13224e-21,4.10956e-20,2.27902e-20,3.68344e-20,1.33547e-19,5.39977e-20,4.54954e-20,4.06050e-19,8.43480e-20,1.13183e-19,4.02959e-19,1.04507e-19,1.48755e-19,1.00728e-19,4.91362e-20,4.83830e-20,2.28871e-20,1.92271e-20,2.25290e-20,2.08716e-21,1.70789e-21,3.93957e-21
 270.708,1.10821e-18,1.56169e-19,2.01917e-19, 1.56717e-34, 1.56716e-34,2.39718e-29,7.72380e-23,7.50309e-23,1.07028e-21,3.94126e-20,2.21355e-20,3.57792e-20,1.29189e-19,5.33745e-20,4.51875e-20,4.03048e-19,8.43327e-20,1.12252e-19,4.06401e-19,1.05073e-19,1.47752e-19,1.04131e-19,4.99926e-20,4.97829e-20,2.37295e-20,1.98805e-20,2.28260e-20,2.22118e-21,1.81138e-21,4.12878e-21
 270.118,1.10682e-18,1.56445e-19,2.02190e-19, 1.18889e-34, 1.18889e-34,1.98499e-29,6.89629e-23,6.70585e-23,9.86979e-22,3.77813e-20,2.17135e-20,3.39241e-20,1.24902e-19,5.20304e-20,4.41311e-20,3.99846e-19,8.46229e-20,1.09892e-19,4.09674e-19,1.05517e-19,1.49932e-19,1.07587e-19,5.07702e-20,5.15909e-20,2.45979e-20,2.04967e-20,2.33449e-20,2.36285e-21,1.91937e-21,4.32349e-21
 269.531,1.10527e-18,1.58006e-19,1.99718e-19, 9.00885e-35, 9.00882e-35,1.64228e-29,6.15332e-23,5.98913e-23,9.08220e-22,3.62009e-20,2.10929e-20,3.23978e-20,1.20686e-19,5.08893e-20,4.34996e-20,3.96450e-19,8.82150e-20,1.03658e-19,4.12776e-19,1.04883e-19,1.50828e-19,1.11095e-19,5.19499e-20,5.34797e-20,2.54927e-20,2.11216e-20,2.38790e-20,2.51255e-21,2.03283e-21,4.49527e-21
 268.946,1.10357e-18,1.60963e-19,1.98538e-19, 6.81863e-35, 6.81861e-35,1.35758e-29,5.48670e-23,5.34526e-23,8.52304e-22,3.46708e-20,2.04794e-20,3.14868e-20,1.16546e-19,4.97594e-20,4.31818e-20,3.92864e-19,9.28799e-20,1.00173e-19,4.15701e-19,1.05580e-19,1.51206e-19,1.14652e-19,5.25536e-20,5.51196e-20,2.64145e-20,2.17574e-20,2.45470e-20,2.67066e-21,2.15178e-21,4.69527e-21
 268.364,1.10172e-18,1.61071e-19,1.97881e-19, 5.15495e-35, 5.15494e-35,1.12127e-29,4.88900e-23,4.76726e-23,8.04826e-22,3.31901e-20,1.99391e-20,3.05715e-20,1.12482e-19,4.86227e-20,4.32660e-20,3.89094e-19,9.26394e-20,9.89556e-20,4.18446e-19,1.05928e-19,1.50580e-19,1.18255e-19,5.35933e-20,5.67811e-20,2.73640e-20,2.24039e-20,2.52003e-20,2.83758e-21,2.27660e-21,4.90680e-21
 267.784,1.09971e-18,1.61788e-19,1.96410e-19, 3.89271e-35, 3.89270e-35,9.25314e-30,4.35347e-23,4.24877e-23,7.55013e-22,3.17582e-20,1.93934e-20,2.96213e-20,1.08497e-19,4.74806e-20,4.29293e-20,3.85147e-19,9.45074e-20,9.50112e-20,4.21006e-19,1.05317e-19,1.50778e-19,1.21903e-19,5.46200e-20,5.83911e-20,2.83416e-20,2.30744e-20,2.56747e-20,3.01373e-21,2.40587e-21,5.11357e-21
 267.207,1.09755e-18,1.62579e-19,1.95113e-19, 2.93615e-35, 2.93615e-35,7.62950e-30,3.87399e-23,3.78400e-23,6.93797e-22,3.03741e-20,1.88078e-20,2.79216e-20,1.04593e-19,4.63151e-20,4.25232e-20,3.81027e-19,9.62535e-20,9.25590e-20,4.23378e-19,1.05108e-19,1.50292e-19,1.25592e-19,5.52170e-20,6.01349e-20,2.93480e-20,2.37770e-20,2.61101e-20,3.19952e-21,2.54027e-21,5.28633e-21
 266.633,1.09524e-18,1.62984e-19,1.92484e-19, 2.21210e-35, 2.21209e-35,6.28539e-30,3.44498e-23,3.36771e-23,6.36927e-22,2.90370e-20,1.82940e-20,2.71876e-20,1.00770e-19,4.52190e-20,4.23524e-20,3.76743e-19,9.71581e-20,9.05106e-20,4.25560e-19,1.05504e-19,1.47431e-19,1.29319e-19,5.48322e-20,6.20208e-20,3.03839e-20,2.44936e-20,2.66824e-20,3.39539e-21,2.68530e-21,5.47881e-21
 266.061,1.09279e-18,1.65303e-19,1.90082e-19, 1.66467e-35, 1.66467e-35,5.17367e-30,3.06139e-23,2.99514e-23,5.84388e-22,2.77460e-20,1.78163e-20,2.61722e-20,9.70317e-20,4.41094e-20,4.20023e-20,3.72300e-19,1.00653e-19,8.84504e-20,4.27546e-19,1.05551e-19,1.44349e-19,1.33081e-19,5.60867e-20,6.51629e-20,3.14496e-20,2.52242e-20,2.72603e-20,3.60181e-21,2.83326e-21,5.70043e-21
 265.491,1.09019e-18,1.67192e-19,1.87977e-19, 1.25127e-35, 1.25127e-35,4.25496e-30,2.71867e-23,2.66216e-23,5.35878e-22,2.65003e-20,1.72282e-20,2.48094e-20,9.33775e-20,4.29975e-20,4.13888e-20,3.67705e-19,1.04780e-19,8.66617e-20,4.29336e-19,1.04638e-19,1.42006e-19,1.36875e-19,5.65374e-20,6.72334e-20,3.25460e-20,2.59687e-20,2.78353e-20,3.81924e-21,2.99368e-21,5.92839e-21
 264.923,1.08744e-18,1.68013e-19,1.87171e-19, 9.39446e-36, 9.39445e-36,3.49640e-30,2.41267e-23,2.36451e-23,4.91117e-22,2.52989e-20,1.66421e-20,2.36486e-20,8.98089e-20,4.18849e-20,4.05566e-20,3.62966e-19,1.07286e-19,8.64155e-20,4.30926e-19,1.03087e-19,1.40636e-19,1.40698e-19,5.77537e-20,6.88282e-20,3.36735e-20,2.67271e-20,2.84127e-20,4.04817e-21,3.16173e-21,6.16163e-21
 264.359,1.08456e-18,1.67484e-19,1.86901e-19, 7.04515e-36, 7.04515e-36,2.87063e-30,2.13964e-23,2.09865e-23,4.49839e-22,2.41409e-20,1.60711e-20,2.31239e-20,8.63267e-20,4.07504e-20,4.00097e-20,3.58088e-19,1.07374e-19,8.57797e-20,4.32314e-19,1.01662e-19,1.39404e-19,1.44546e-19,5.91662e-20,7.15764e-20,3.48327e-20,2.74992e-20,2.89948e-20,4.28910e-21,3.33812e-21,6.39736e-21
 263.796,1.08154e-18,1.69202e-19,1.85975e-19, 5.27724e-36, 5.27723e-36,2.35485e-30,1.89621e-23,1.86135e-23,4.11797e-22,2.30253e-20,1.55906e-20,2.23556e-20,8.29314e-20,3.96011e-20,3.91405e-20,3.53080e-19,1.10270e-19,8.46820e-20,4.33498e-19,1.01256e-19,1.37616e-19,1.48415e-19,5.99467e-20,7.43391e-20,3.60242e-20,2.82783e-20,2.95814e-20,4.54253e-21,3.52904e-21,6.63912e-21
 263.236,1.07838e-18,1.70328e-19,1.85270e-19, 3.94839e-36, 3.94839e-36,1.93010e-30,1.67932e-23,1.64970e-23,3.76758e-22,2.19512e-20,1.51358e-20,2.17339e-20,7.96234e-20,3.84591e-20,3.82190e-20,3.47949e-19,1.11851e-19,8.48856e-20,4.34476e-19,1.00927e-19,1.35820e-19,1.52302e-19,6.12083e-20,7.60371e-20,3.72486e-20,2.90877e-20,3.01725e-20,4.80901e-21,3.71739e-21,6.85802e-21
 262.678,1.07508e-18,1.72119e-19,1.85756e-19, 2.95074e-36, 2.95074e-36,1.58061e-30,1.48622e-23,1.46107e-23,3.44504e-22,2.09175e-20,1.46742e-20,2.07196e-20,7.64031e-20,3.73254e-20,3.75989e-20,3.42702e-19,1.15397e-19,8.47593e-20,4.35247e-19,9.96508e-20,1.35874e-19,1.56202e-19,6.21309e-20,7.75804e-20,3.85064e-20,2.99033e-20,3.07679e-20,5.08907e-21,3.91655e-21,7.13697e-21
 262.123,1.07166e-18,1.73416e-19,1.83550e-19, 2.20262e-36, 2.20262e-36,1.29331e-30,1.31441e-23,1.29308e-23,3.14832e-22,1.99234e-20,1.41084e-20,1.97531e-20,7.32705e-20,3.65703e-20,3.70757e-20,3.37347e-19,1.16423e-19,8.36315e-20,4.35810e-19,1.00154e-19,1.32370e-19,1.60113e-19,6.31661e-20,7.98355e-20,3.97983e-20,3.07323e-20,3.13188e-20,5.38327e-21,4.12274e-21,7.42748e-21
 261.570,1.06811e-18,1.74680e-19,1.81276e-19, 1.64227e-36, 1.64227e-36,1.05732e-30,1.16166e-23,1.14358e-23,2.87552e-22,1.89678e-20,1.36140e-20,1.90856e-20,7.02256e-20,3.57906e-20,3.68656e-20,3.31891e-19,1.17670e-19,8.17013e-20,4.36164e-19,1.00088e-19,1.29208e-19,1.64028e-19,6.45518e-20,8.18336e-20,4.11247e-20,3.15747e-20,3.17978e-20,5.69219e-21,4.33261e-21,7.72908e-21
 261.019,1.06443e-18,1.75975e-19,1.79126e-19, 1.22305e-36, 1.22305e-36,8.63661e-31,1.02595e-23,1.01065e-23,2.62486e-22,1.80497e-20,1.30817e-20,1.79868e-20,6.72683e-20,3.50405e-20,3.61780e-20,3.26342e-19,1.18920e-19,7.81558e-20,4.36309e-19,1.00046e-19,1.27213e-19,1.67946e-19,6.59110e-20,8.40015e-20,4.24862e-20,3.24374e-20,3.22738e-20,6.01641e-21,4.55960e-21,8.03755e-21
 260.471,1.06063e-18,1.77245e-19,1.78448e-19, 9.09797e-37, 9.09797e-37,7.04871e-31,9.05464e-24,8.92519e-24,2.39468e-22,1.71681e-20,1.26027e-20,1.74100e-20,6.43981e-20,3.38464e-20,3.54751e-20,3.20708e-19,1.19851e-19,7.75636e-20,4.36243e-19,1.00435e-19,1.26246e-19,1.71860e-19,6.72409e-20,8.47743e-20,4.38834e-20,3.33953e-20,3.27456e-20,6.35654e-21,4.81139e-21,8.29415e-21
 259.925,1.05671e-18,1.76773e-19,1.77845e-19, 6.75989e-37, 6.75989e-37,5.74786e-31,7.98569e-24,7.87632e-24,2.18344e-22,1.63221e-20,1.21326e-20,1.64732e-20,6.16146e-20,3.25697e-20,3.47949e-20,3.14996e-19,1.19840e-19,7.65983e-20,4.35968e-19,9.87581e-20,1.24486e-19,1.75767e-19,6.87015e-20,8.71547e-20,4.53167e-20,3.43581e-20,3.33754e-20,6.71319e-21,5.06479e-21,8.54107e-21
 259.381,1.05267e-18,1.78714e-19,1.78756e-19, 5.01685e-37, 5.01685e-37,4.68309e-31,7.03802e-24,6.94569e-24,1.98969e-22,1.55106e-20,1.16332e-20,1.57120e-20,5.89172e-20,3.13861e-20,3.41274e-20,3.09214e-19,1.21186e-19,7.66965e-20,4.35484e-19,9.98808e-20,1.24117e-19,1.79661e-19,6.98870e-20,8.96522e-20,4.67867e-20,3.52608e-20,3.37502e-20,7.08700e-21,5.32524e-21,8.83869e-21
